key	value
T=154.64023333333333 || screenImage=frame2311.png	[{"center":"(1092.0,390.5)","visible":"true","name":"Worker Walker 1","cameraDistance":"75.07114","viewed":"4.716990566028302","rotationSpeed":"0","translationSpeed":"0.355079861370579","size":"(5,12)"}]
T=155.37596666666667 || screenImage=frame2321.png	[{"center":"(1174.5,405.5)","visible":"true","name":"Worker Walker 4","cameraDistance":"52.06321","viewed":"3.8078865529319543","rotationSpeed":"0","translationSpeed":"0","size":"(2,2)"}]
T=155.39443333333332 || screenImage=frame2322.png	[{"center":"(1174.5,405.5)","visible":"true","name":"Worker Walker 4","cameraDistance":"52.06321","viewed":"4.301162633521313","rotationSpeed":"0","translationSpeed":"0","size":"(2,2)"}]
T=155.4909 || screenImage=frame2323.png	[{"center":"(1179.5,406.5)","visible":"true","name":"Worker Walker 3","cameraDistance":"50.51694","viewed":"3.8078865529319543","rotationSpeed":"0","translationSpeed":"0","size":"(10,4)"}]
T=155.5173 || screenImage=frame2323.png	[{"center":"(1174.5,405.5)","visible":"true","name":"Worker Walker 4","cameraDistance":"52.06321","viewed":"3.5355339059327378","rotationSpeed":"0","translationSpeed":"0","size":"(2,2)"},{"center":"(1179.5,406.5)","visible":"true","name":"Worker Walker 3","cameraDistance":"50.51694","viewed":"4.301162633521313","rotationSpeed":"0","translationSpeed":"0","size":"(10,4)"}]
T=156.1461 || screenImage=frame2333.png	[{"center":"(1200.0,408.0)","visible":"true","name":"WorkerWalk","cameraDistance":"53.91555","viewed":"4.0","rotationSpeed":"0","translationSpeed":"0","size":"(11,3)"}]
T=156.18043333333333 || screenImage=frame2333.png	[{"center":"(1199.5,398.0)","visible":"true","name":"Yellow Worker 8","cameraDistance":"49.18198","viewed":"3.0413812651491097","rotationSpeed":"0","translationSpeed":"0","size":"(14,29)"}]
T=156.1976 || screenImage=frame2333.png	[{"center":"(1169.0,406.0)","visible":"true","name":"Worker Walker 4","cameraDistance":"52.06324","viewed":"2.23606797749979","rotationSpeed":"0","translationSpeed":"0","size":"(3,3)"}]
T=157.30695 || screenImage=frame2350.png	[{"center":"(966.0,385.5)","visible":"true","name":"Yellow Worker 4","cameraDistance":"60.66763","viewed":"0.5","rotationSpeed":"0","translationSpeed":"0","size":"(5,18)"}]
T=157.3349 || screenImage=frame2350.png	[{"center":"(966.0,385.5)","visible":"true","name":"Yellow Worker 4","cameraDistance":"60.66763","viewed":"2.5","rotationSpeed":"0","translationSpeed":"0","size":"(5,18)"}]
T=157.415 || screenImage=frame2351.png	[{"center":"(966.0,385.5)","visible":"true","name":"Yellow Worker 4","cameraDistance":"60.66763","viewed":"3.3541019662496847","rotationSpeed":"0","translationSpeed":"0","size":"(5,18)"}]
T=158.09 || screenImage=frame2361.png	[{"center":"(966.0,385.5)","visible":"true","name":"Yellow Worker 4","cameraDistance":"60.66771","viewed":"4.716990566028302","rotationSpeed":"0","translationSpeed":"0","size":"(5,18)"}]
T=158.2478 || screenImage=frame2364.png	[{"center":"(959.0,412.5)","visible":"true","name":"WorkerBarrier 1","cameraDistance":"24.12965","viewed":"4.716990566028302","rotationSpeed":"0","translationSpeed":"0.284331027064183","size":"(43,34)"}]
T=158.4671 || screenImage=frame2367.png	[{"center":"(966.0,385.5)","visible":"true","name":"Yellow Worker 4","cameraDistance":"60.66774","viewed":"2.692582403567252","rotationSpeed":"0","translationSpeed":"0","size":"(5,18)"}]
T=158.7189 || screenImage=frame2370.png	[{"center":"(894.0,384.5)","visible":"true","name":"Bulldozer B10 N080211","cameraDistance":"50.29205","viewed":"3.905124837953327","rotationSpeed":"0","translationSpeed":"0.286821035044812","size":"(55,30)"}]
T=158.95535 || screenImage=frame2374.png	[{"center":"(893.0,384.5)","visible":"true","name":"Bulldozer B10 N080211","cameraDistance":"50.27731","viewed":"1.8027756377319946","rotationSpeed":"0","translationSpeed":"0.301417592531752","size":"(55,30)"}]
T=159.1988 || screenImage=frame2378.png	[{"center":"(892.0,384.5)","visible":"true","name":"Bulldozer B10 N080211","cameraDistance":"50.2629","viewed":"4.6097722286464435","rotationSpeed":"0","translationSpeed":"0.276071550088399","size":"(55,30)"}]
T=16.19155 || screenImage=frame184.png	[{"center":"(1193.5,413.0)","visible":"true","name":"WorkerSmoking 3","cameraDistance":"86.06041","viewed":"3.905124837953327","rotationSpeed":"0","translationSpeed":"0","size":"(2,3)"}]
T=16.393394999999998 || screenImage=frame185.png	[{"center":"(1195.5,416.0)","visible":"true","name":"WorkerSmoking 3","cameraDistance":"85.97106","viewed":"4.031128874149275","rotationSpeed":"0","translationSpeed":"0","size":"(6,13)"}]
T=16.4342 || screenImage=frame186.png	[{"center":"(1196.5,416.0)","visible":"true","name":"WorkerSmoking 3","cameraDistance":"85.88049","viewed":"4.031128874149275","rotationSpeed":"0","translationSpeed":"0","size":"(6,13)"}]
T=16.771365000000003 || screenImage=frame189.png	[{"center":"(1210.0,434.0)","visible":"true","name":"Yellow Worker 2","cameraDistance":"60.40181","viewed":"4.47213595499958","rotationSpeed":"0","translationSpeed":"0","size":"(11,25)"}]
T=167.86056666666667 || screenImage=frame2503.png	[{"center":"(1099.0,424.0)","visible":"true","name":"Yellow Worker 3","cameraDistance":"17.11871","viewed":"4.242640687119285","rotationSpeed":"0","translationSpeed":"1.01349356819283","size":"(27,73)"}]
T=167.879 || screenImage=frame2503.png	[{"center":"(1099.0,424.0)","visible":"true","name":"Yellow Worker 3","cameraDistance":"17.11871","viewed":"4.242640687119285","rotationSpeed":"0","translationSpeed":"1.01349356819283","size":"(27,73)"}]
T=167.9802 || screenImage=frame2505.png	[{"center":"(1095.5,403.0)","visible":"true","name":"WorkerSmoking","cameraDistance":"28.16323","viewed":"4.716990566028302","rotationSpeed":"0","translationSpeed":"0","size":"(2,3)"}]
T=173.5613 || screenImage=frame2586.png	[{"center":"(1170.0,376.5)","visible":"true","name":"ExcavatorD-01","cameraDistance":"31.46839","viewed":"2.5","rotationSpeed":"6.53583619210271","translationSpeed":"0","size":"(69,92)"}]
T=173.58825 || screenImage=frame2586.png	[{"center":"(1170.0,376.5)","visible":"true","name":"ExcavatorD-01","cameraDistance":"31.46839","viewed":"3.640054944640259","rotationSpeed":"6.53583619210271","translationSpeed":"0","size":"(69,92)"}]
T=173.6152 || screenImage=frame2587.png	[{"center":"(1169.5,376.5)","visible":"true","name":"ExcavatorD-01","cameraDistance":"31.46839","viewed":"4.949747468305833","rotationSpeed":"5.86499902757986","translationSpeed":"0","size":"(68,92)"}]
T=173.63864999999998 || screenImage=frame2587.png	[{"center":"(1169.5,376.5)","visible":"true","name":"ExcavatorD-01","cameraDistance":"31.46839","viewed":"4.301162633521313","rotationSpeed":"5.86499902757986","translationSpeed":"0","size":"(68,92)"}]
T=173.7597 || screenImage=frame2589.png	[{"center":"(1169.5,377.0)","visible":"true","name":"ExcavatorD-01","cameraDistance":"31.46839","viewed":"4.031128874149275","rotationSpeed":"6.29029778033215","translationSpeed":"0","size":"(68,93)"}]
T=175.9522 || screenImage=frame2621.png	[{"center":"(1170.0,376.5)","visible":"true","name":"ExcavatorD-01","cameraDistance":"31.51365","viewed":"0.5","rotationSpeed":"4.312825913757","translationSpeed":"0","size":"(69,94)"}]
T=18.00468 || screenImage=frame202.png	[{"center":"(673.0,402.5)","visible":"true","name":"Yellow Worker 1","cameraDistance":"37.03673","viewed":"0.5","rotationSpeed":"0","translationSpeed":"0.139723906133685","size":"(9,30)"}]
T=18.01659 || screenImage=frame202.png	[{"center":"(673.0,402.5)","visible":"true","name":"Yellow Worker 1","cameraDistance":"37.03673","viewed":"1.8027756377319946","rotationSpeed":"0","translationSpeed":"0.139723906133685","size":"(9,30)"}]
T=18.0285 || screenImage=frame202.png	[{"center":"(673.0,402.5)","visible":"true","name":"Yellow Worker 1","cameraDistance":"37.03673","viewed":"3.640054944640259","rotationSpeed":"0","translationSpeed":"0.139723906133685","size":"(9,30)"}]
T=18.11635 || screenImage=frame203.png	[{"center":"(672.5,403.0)","visible":"true","name":"Yellow Worker 1","cameraDistance":"36.93544","viewed":"3.905124837953327","rotationSpeed":"0","translationSpeed":"0.145334406309762","size":"(8,29)"}]
T=18.167383333333333 || screenImage=frame204.png	[{"center":"(672.5,403.5)","visible":"true","name":"Yellow Worker 1","cameraDistance":"36.82892","viewed":"4.743416490252569","rotationSpeed":"0","translationSpeed":"0.160467897972242","size":"(8,28)"}]
T=18.1929 || screenImage=frame204.png	[{"center":"(672.5,403.5)","visible":"true","name":"Yellow Worker 1","cameraDistance":"36.82892","viewed":"4.949747468305833","rotationSpeed":"0","translationSpeed":"0.160467897972242","size":"(8,28)"}]
T=180.93335000000002 || screenImage=frame2693.png	[{"center":"(1183.0,407.0)","visible":"true","name":"Worker Walker 3","cameraDistance":"50.25625","viewed":"4.47213595499958","rotationSpeed":"0","translationSpeed":"0","size":"(9,1)"}]
T=180.9601 || screenImage=frame2694.png	[{"center":"(1183.5,407.0)","visible":"true","name":"Worker Walker 3","cameraDistance":"50.2319","viewed":"3.905124837953327","rotationSpeed":"0","translationSpeed":"0","size":"(8,1)"}]
T=181.31403333333333 || screenImage=frame2699.png	[{"center":"(1184.5,407.0)","visible":"true","name":"Worker Walker 3","cameraDistance":"50.11051","viewed":"3.640054944640259","rotationSpeed":"0","translationSpeed":"0","size":"(8,1)"}]
T=181.3305 || screenImage=frame2699.png	[{"center":"(1184.5,407.0)","visible":"true","name":"Worker Walker 3","cameraDistance":"50.11051","viewed":"3.640054944640259","rotationSpeed":"0","translationSpeed":"0","size":"(8,1)"}]
T=181.356 || screenImage=frame2700.png	[{"center":"(1184.5,407.0)","visible":"true","name":"Worker Walker 3","cameraDistance":"50.0858","viewed":"3.5","rotationSpeed":"0","translationSpeed":"0","size":"(6,1)"}]
T=189.6105 || screenImage=frame2823.png	[{"center":"(1122.0,378.0)","visible":"true","name":"Truck N260213","cameraDistance":"54.7718","viewed":"1.0","rotationSpeed":"0","translationSpeed":"0.527770093538369","size":"(129,53)"}]
T=19.1123 || screenImage=frame214.png	[{"center":"(798.5,397.5)","visible":"true","name":"Car02","cameraDistance":"59.47416","viewed":"4.301162633521313","rotationSpeed":"0","translationSpeed":"0","size":"(16,6)"}]
T=19.63241875 || screenImage=frame220.png	[{"center":"(895.0,396.0)","visible":"true","name":"Yellow Worker 06","cameraDistance":"52.08376","viewed":"4.0","rotationSpeed":"0","translationSpeed":"0.0259578555481078","size":"(5,21)"}]
T=19.643272500000002 || screenImage=frame220.png	[{"center":"(895.0,396.0)","visible":"true","name":"Yellow Worker 06","cameraDistance":"52.08376","viewed":"3.605551275463989","rotationSpeed":"0","translationSpeed":"0.0259578555481078","size":"(5,21)"}]
T=19.65412625 || screenImage=frame220.png	[{"center":"(895.0,396.0)","visible":"true","name":"Yellow Worker 06","cameraDistance":"52.08376","viewed":"2.23606797749979","rotationSpeed":"0","translationSpeed":"0.0259578555481078","size":"(5,21)"}]
T=192.2318 || screenImage=frame2862.png	[{"center":"(1112.5,406.0)","visible":"true","name":"Worker Walker 5","cameraDistance":"40.45501","viewed":"3.3541019662496847","rotationSpeed":"0","translationSpeed":"0","size":"(4,5)"}]
T=192.2534 || screenImage=frame2862.png	[{"center":"(1112.5,406.0)","visible":"true","name":"Worker Walker 5","cameraDistance":"40.45501","viewed":"1.118033988749895","rotationSpeed":"0","translationSpeed":"0","size":"(4,5)"}]
T=197.5596 || screenImage=frame2950.png	[{"center":"(1154.0,404.0)","visible":"true","name":"Worker Walker 1","cameraDistance":"56.6313","viewed":"1.0","rotationSpeed":"0","translationSpeed":"0.815314516264948","size":"(1,1)"},{"center":"(1155.5,398.5)","visible":"true","name":"Worker Walker 5","cameraDistance":"36.47126","viewed":"4.743416490252569","rotationSpeed":"0","translationSpeed":"0","size":"(14,30)"}]
T=197.5771 || screenImage=frame2950.png	[{"center":"(1154.0,404.0)","visible":"true","name":"Worker Walker 1","cameraDistance":"56.6313","viewed":"1.4142135623730951","rotationSpeed":"0","translationSpeed":"0.815314516264948","size":"(1,1)"}]
T=197.68965 || screenImage=frame2952.png	[{"center":"(1155.5,404.0)","visible":"true","name":"Worker Walker 1","cameraDistance":"56.58839","viewed":"3.2015621187164243","rotationSpeed":"0","translationSpeed":"0.669772139659026","size":"(2,1)"}]
T=198.8553 || screenImage=frame2971.png	[{"center":"(1148.0,402.5)","visible":"true","name":"Worker white 1","cameraDistance":"59.61634","viewed":"3.3541019662496847","rotationSpeed":"0","translationSpeed":"0.457579311656099","size":"(3,2)"}]
T=20.54327 || screenImage=frame231.png	[{"center":"(1242.0,426.0)","visible":"true","name":"ExcavatorC-03","cameraDistance":"14.57202","viewed":"4.123105625617661","rotationSpeed":"0","translationSpeed":"0","size":"(75,29)"}]
T=20.839483333333334 || screenImage=frame234.png	[{"center":"(1244.5,426.0)","visible":"true","name":"ExcavatorC-03","cameraDistance":"14.48462","viewed":"3.640054944640259","rotationSpeed":"0","translationSpeed":"0","size":"(74,29)"}]
T=20.854026666666666 || screenImage=frame234.png	[{"center":"(1244.5,426.0)","visible":"true","name":"ExcavatorC-03","cameraDistance":"14.48462","viewed":"3.905124837953327","rotationSpeed":"0","translationSpeed":"0","size":"(74,29)"}]
T=201.04876666666667 || screenImage=frame3008.png	[{"center":"(1454.0,410.0)","visible":"true","name":"Worker Walker 4","cameraDistance":"40.11409","viewed":"2.8284271247461903","rotationSpeed":"0","translationSpeed":"0","size":"(33,37)"}]
T=201.0615 || screenImage=frame3009.png	[{"center":"(1456.5,410.0)","visible":"true","name":"Worker Walker 4","cameraDistance":"40.07876","viewed":"2.5","rotationSpeed":"0","translationSpeed":"0","size":"(34,37)"}]
T=201.25990000000002 || screenImage=frame3012.png	[{"center":"(1461.5,410.5)","visible":"true","name":"Worker Walker 4","cameraDistance":"39.96748","viewed":"4.743416490252569","rotationSpeed":"0","translationSpeed":"0","size":"(34,38)"}]
T=203.20723333333333 || screenImage=frame3044.png	[{"center":"(862.0,369.5)","visible":"true","name":"Car kraz N220114","cameraDistance":"1.894369","viewed":"4.924428900898052","rotationSpeed":"0.313961464629281","translationSpeed":"1.31285181289262","size":"(1475,740)"}]
T=203.4638 || screenImage=frame3049.png	[{"center":"(862.0,369.5)","visible":"true","name":"Car kraz N220114","cameraDistance":"1.89437","viewed":"4.272001872658765","rotationSpeed":"0.234788074795241","translationSpeed":"1.11410232799825","size":"(1475,740)"}]
T=206.57965000000002 || screenImage=frame3102.png	[{"center":"(953.0,402.5)","visible":"true","name":"WorkerSmoking 2","cameraDistance":"49.65741","viewed":"4.272001872658765","rotationSpeed":"0","translationSpeed":"0.456100947859711","size":"(5,16)"}]
T=207.1303333333333 || screenImage=frame3111.png	[{"center":"(886.5,395.0)","visible":"true","name":"Bulldozer B10 N080211","cameraDistance":"25.64699","viewed":"4.031128874149275","rotationSpeed":"0","translationSpeed":"0.93206415065009","size":"(110,59)"}]
T=207.14206666666666 || screenImage=frame3112.png	[{"center":"(887.5,395.0)","visible":"true","name":"Bulldozer B10 N080211","cameraDistance":"25.59306","viewed":"3.5","rotationSpeed":"0","translationSpeed":"0.850664978349752","size":"(110,59)"}]
T=208.9019 || screenImage=frame3142.png	[{"center":"(1176.5,412.0)","visible":"true","name":"White worker 1","cameraDistance":"51.94138","viewed":"4.031128874149275","rotationSpeed":"0","translationSpeed":"0","size":"(4,5)"}]
T=21.03474 || screenImage=frame236.png	[{"center":"(1247.0,426.5)","visible":"true","name":"ExcavatorC-03","cameraDistance":"14.42902","viewed":"1.8027756377319946","rotationSpeed":"0","translationSpeed":"0","size":"(75,30)"}]
T=21.061845 || screenImage=frame237.png	[{"center":"(1248.0,426.5)","visible":"true","name":"ExcavatorC-03","cameraDistance":"14.40296","viewed":"4.716990566028302","rotationSpeed":"0","translationSpeed":"0","size":"(75,30)"}]
T=21.079915 || screenImage=frame237.png	[{"center":"(1248.0,426.5)","visible":"true","name":"ExcavatorC-03","cameraDistance":"14.40296","viewed":"4.272001872658765","rotationSpeed":"0","translationSpeed":"0","size":"(75,30)"}]
T=21.33009 || screenImage=frame240.png	[{"center":"(1250.5,426.5)","visible":"true","name":"ExcavatorC-03","cameraDistance":"14.3254","viewed":"1.5811388300841898","rotationSpeed":"0","translationSpeed":"0","size":"(74,28)"}]
T=21.73574 || screenImage=frame245.png	[{"center":"(1158.5,439.0)","visible":"true","name":"Yellow Worker 7","cameraDistance":"36.99009","viewed":"0.5","rotationSpeed":"0","translationSpeed":"0","size":"(18,27)"}]
T=21.7549575 || screenImage=frame245.png	[{"center":"(1158.5,439.0)","visible":"true","name":"Yellow Worker 7","cameraDistance":"36.99009","viewed":"2.5","rotationSpeed":"0","translationSpeed":"0","size":"(18,27)"}]
T=211.49883333333332 || screenImage=frame3186.png	[{"center":"(1149.0,427.0)","visible":"true","name":"Worker struckby","cameraDistance":"17.9061","viewed":"3.1622776601683795","rotationSpeed":"0","translationSpeed":"0.782858934033282","size":"(27,63)"}]
T=211.512 || screenImage=frame3186.png	[{"center":"(1149.0,427.0)","visible":"true","name":"Worker struckby","cameraDistance":"17.9061","viewed":"2.0","rotationSpeed":"0","translationSpeed":"0.782858934033282","size":"(27,63)"}]
T=211.5726 || screenImage=frame3187.png	[{"center":"(1149.0,427.0)","visible":"true","name":"Worker struckby","cameraDistance":"17.87602","viewed":"3.1622776601683795","rotationSpeed":"0","translationSpeed":"0.757856488189878","size":"(27,63)"}]
T=213.7228 || screenImage=frame3224.png	[{"center":"(1143.5,431.5)","visible":"true","name":"Worker struckby","cameraDistance":"16.30846","viewed":"1.5811388300841898","rotationSpeed":"0","translationSpeed":"0.931605469737787","size":"(24,68)"}]
T=214.90513333333334 || screenImage=frame3245.png	[{"center":"(1123.5,432.0)","visible":"true","name":"Worker struckby","cameraDistance":"15.02005","viewed":"4.6097722286464435","rotationSpeed":"0","translationSpeed":"1.04159435158416","size":"(32,69)"}]
T=215.0438 || screenImage=frame3247.png	[{"center":"(1122.0,432.0)","visible":"true","name":"Worker struckby","cameraDistance":"14.88282","viewed":"3.1622776601683795","rotationSpeed":"0","translationSpeed":"0.993632748984655","size":"(29,67)"}]
T=215.1596 || screenImage=frame3250.png	[{"center":"(1114.5,430.5)","visible":"true","name":"Worker struckby","cameraDistance":"14.65522","viewed":"1.5811388300841898","rotationSpeed":"0","translationSpeed":"1.33986261207587","size":"(14,64)"}]
T=215.1764 || screenImage=frame3250.png	[{"center":"(1114.5,430.5)","visible":"true","name":"Worker struckby","cameraDistance":"14.65522","viewed":"4.301162633521313","rotationSpeed":"0","translationSpeed":"1.33986261207587","size":"(14,64)"}]
T=215.1932 || screenImage=frame3250.png	[{"center":"(1114.5,430.5)","visible":"true","name":"Worker struckby","cameraDistance":"14.65522","viewed":"0.7071067811865476","rotationSpeed":"0","translationSpeed":"1.33986261207587","size":"(14,64)"}]
T=215.5025 || screenImage=frame3256.png	[{"center":"(1104.5,432.0)","visible":"true","name":"Worker struckby","cameraDistance":"14.15554","viewed":"4.924428900898052","rotationSpeed":"0","translationSpeed":"1.6593356194083","size":"(30,61)"}]
T=215.5273 || screenImage=frame3256.png	[{"center":"(1104.5,432.0)","visible":"true","name":"Worker struckby","cameraDistance":"14.15554","viewed":"4.6097722286464435","rotationSpeed":"0","translationSpeed":"1.6593356194083","size":"(30,61)"}]
T=215.5521 || screenImage=frame3257.png	[{"center":"(1103.0,431.0)","visible":"true","name":"Worker struckby","cameraDistance":"14.06649","viewed":"3.0","rotationSpeed":"0","translationSpeed":"1.656728944457","size":"(31,63)"}]
T=216.2307 || screenImage=frame3269.png	[{"center":"(1071.5,413.0)","visible":"true","name":"Bulldozer B10 N080211","cameraDistance":"16.96034","viewed":"4.924428900898052","rotationSpeed":"0","translationSpeed":"0.183902971384065","size":"(224,107)"}]
T=216.4811 || screenImage=frame3273.png	[{"center":"(1077.5,414.0)","visible":"true","name":"Bulldozer B10 N080211","cameraDistance":"16.75378","viewed":"1.118033988749895","rotationSpeed":"0","translationSpeed":"0.164924071174899","size":"(228,109)"}]
T=218.4045 || screenImage=frame3307.png	[{"center":"(1003.0,420.0)","visible":"true","name":"Worker Ham 2","cameraDistance":"18.71601","viewed":"2.23606797749979","rotationSpeed":"4.04043183094836","translationSpeed":"0.0166217547141691","size":"(23,35)"},{"center":"(1004.5,417.5)","visible":"true","name":"WorkerSmoking 2","cameraDistance":"36.9132","viewed":"4.527692569068709","rotationSpeed":"0","translationSpeed":"0.384869510313278","size":"(4,18)"}]
T=220.48365 || screenImage=frame3343.png	[{"center":"(1244.0,436.0)","visible":"true","name":"Bulldozer B10 N080211","cameraDistance":"13.27448","viewed":"1.4142135623730951","rotationSpeed":"0","translationSpeed":"0.105187803322898","size":"(373,147)"}]
