key	value
T=101.1057 || screenImage=frame1428.png	[{"center":"(1008.5,392.0)","visible":"true","name":"WorkerSmoking 3","cameraDistance":"30.37847","viewed":"4.031128874149275","rotationSpeed":"0","translationSpeed":"0","size":"(12,19)"}]
T=101.1418 || screenImage=frame1428.png	[{"center":"(1008.5,392.0)","visible":"true","name":"WorkerSmoking 3","cameraDistance":"30.37847","viewed":"0.5","rotationSpeed":"0","translationSpeed":"0","size":"(12,19)"}]
T=103.24642 || screenImage=frame1465.png	[{"center":"(1196.0,434.0)","visible":"true","name":"WorkerSmoking 3","cameraDistance":"27.2938","viewed":"8.94427190999916","rotationSpeed":"0","translationSpeed":"0","size":"(21,39)"}]
T=103.48245 || screenImage=frame1469.png	[{"center":"(1222.0,435.5)","visible":"true","name":"WorkerSmoking 3","cameraDistance":"26.97048","viewed":"8.200609733428363","rotationSpeed":"0","translationSpeed":"0","size":"(23,42)"}]
T=103.501 || screenImage=frame1469.png	[{"center":"(1222.0,435.5)","visible":"true","name":"WorkerSmoking 3","cameraDistance":"26.97048","viewed":"7.433034373659253","rotationSpeed":"0","translationSpeed":"0","size":"(23,42)"}]
T=103.7013 || screenImage=frame1472.png	[{"center":"(1241.5,436.0)","visible":"true","name":"WorkerSmoking 3","cameraDistance":"26.72834","viewed":"9.17877987534291","rotationSpeed":"0","translationSpeed":"0","size":"(24,43)"}]
T=103.78625 || screenImage=frame1474.png	[{"center":"(1253.0,437.0)","visible":"true","name":"WorkerSmoking 3","cameraDistance":"26.57312","viewed":"6.0","rotationSpeed":"0","translationSpeed":"0","size":"(25,43)"}]
T=105.4448 || screenImage=frame1502.png	[{"center":"(713.5,361.0)","visible":"true","name":"powerline (2)","cameraDistance":"51.91046","viewed":"3.640054944640259","rotationSpeed":"0","translationSpeed":"0","size":"(28,11)"}]
T=114.33455000000001 || screenImage=frame1658.png	[{"center":"(1025.5,435.0)","visible":"true","name":"WorkerSmoking 3","cameraDistance":"17.38348","viewed":"6.800735254367722","rotationSpeed":"0","translationSpeed":"0","size":"(24,31)"}]
T=120.2932 || screenImage=frame1757.png	[{"center":"(669.5,440.5)","visible":"true","name":"WorkerSmoking 3","cameraDistance":"14.28183","viewed":"1.5811388300841898","rotationSpeed":"0","translationSpeed":"0","size":"(26,58)"}]
T=120.319 || screenImage=frame1758.png	[{"center":"(669.5,440.5)","visible":"true","name":"WorkerSmoking 3","cameraDistance":"14.28214","viewed":"8.860022573334675","rotationSpeed":"0","translationSpeed":"0","size":"(26,58)"}]
T=121.185 || screenImage=frame1772.png	[{"center":"(675.0,440.5)","visible":"true","name":"WorkerSmoking 3","cameraDistance":"14.30851","viewed":"8.73212459828649","rotationSpeed":"0","translationSpeed":"0","size":"(25,58)"}]
T=121.4835 || screenImage=frame1777.png	[{"center":"(675.0,440.5)","visible":"true","name":"WorkerSmoking 3","cameraDistance":"14.30851","viewed":"9.7082439194738","rotationSpeed":"0","translationSpeed":"0","size":"(25,58)"}]
T=121.5031 || screenImage=frame1777.png	[{"center":"(675.0,440.5)","visible":"true","name":"WorkerSmoking 3","cameraDistance":"14.30851","viewed":"8.200609733428363","rotationSpeed":"0","translationSpeed":"0","size":"(25,58)"}]
T=121.5227 || screenImage=frame1778.png	[{"center":"(675.0,440.5)","visible":"true","name":"WorkerSmoking 3","cameraDistance":"14.30851","viewed":"6.020797289396148","rotationSpeed":"0","translationSpeed":"0","size":"(25,58)"}]
T=121.58449999999999 || screenImage=frame1779.png	[{"center":"(675.0,440.5)","visible":"true","name":"WorkerSmoking 3","cameraDistance":"14.30851","viewed":"8.077747210701755","rotationSpeed":"0","translationSpeed":"0","size":"(25,58)"}]
T=121.6086 || screenImage=frame1779.png	[{"center":"(675.0,440.5)","visible":"true","name":"WorkerSmoking 3","cameraDistance":"14.30851","viewed":"8.0156097709407","rotationSpeed":"0","translationSpeed":"0","size":"(25,58)"}]
T=121.6478 || screenImage=frame1780.png	[{"center":"(675.0,440.5)","visible":"true","name":"WorkerSmoking 3","cameraDistance":"14.30851","viewed":"8.5","rotationSpeed":"0","translationSpeed":"0","size":"(25,58)"}]
T=122.9766 || screenImage=frame1802.png	[{"center":"(675.0,440.5)","visible":"true","name":"WorkerSmoking 3","cameraDistance":"14.30851","viewed":"5.5901699437494745","rotationSpeed":"0","translationSpeed":"0","size":"(25,58)"}]
T=128.9299 || screenImage=frame1902.png	[{"center":"(680.5,439.5)","visible":"true","name":"WorkerSmoking 3","cameraDistance":"14.3452","viewed":"5.1478150704935","rotationSpeed":"30.7239581782269","translationSpeed":"0.00226669515558828","size":"(32,54)"}]
T=128.94934999999998 || screenImage=frame1902.png	[{"center":"(680.5,439.5)","visible":"true","name":"WorkerSmoking 3","cameraDistance":"14.3452","viewed":"7.106335201775948","rotationSpeed":"30.7239581782269","translationSpeed":"0.00226669515558828","size":"(32,54)"}]
T=136.1375 || screenImage=frame2021.png	[{"center":"(862.0,369.5)","visible":"true","name":"Car kraz N220114","cameraDistance":"1.894368","viewed":"6.020797289396148","rotationSpeed":"0.465529052316142","translationSpeed":"0.957481265951407","size":"(1475,740)"}]
T=144.5849 || screenImage=frame2158.png	[{"center":"(1045.5,270.0)","visible":"true","name":"Crane-01","cameraDistance":"25.79956","viewed":"8.381527307120106","rotationSpeed":"0","translationSpeed":"0","size":"(46,121)"}]
T=144.77825 || screenImage=frame2161.png	[{"center":"(1022.5,270.5)","visible":"true","name":"Crane-01","cameraDistance":"25.69296","viewed":"5.522680508593631","rotationSpeed":"0","translationSpeed":"0","size":"(44,120)"}]
T=144.7994 || screenImage=frame2161.png	[{"center":"(1022.5,270.5)","visible":"true","name":"Crane-01","cameraDistance":"25.69296","viewed":"5.522680508593631","rotationSpeed":"0","translationSpeed":"0","size":"(44,120)"}]
T=144.8389 || screenImage=frame2162.png	[{"center":"(1018.0,270.5)","visible":"true","name":"Crane-01","cameraDistance":"25.65744","viewed":"1.8027756377319946","rotationSpeed":"0","translationSpeed":"0","size":"(43,120)"}]
T=144.85865 || screenImage=frame2162.png	[{"center":"(1018.0,270.5)","visible":"true","name":"Crane-01","cameraDistance":"25.65744","viewed":"1.5","rotationSpeed":"0","translationSpeed":"0","size":"(43,120)"}]
T=144.8784 || screenImage=frame2162.png	[{"center":"(1018.0,270.5)","visible":"true","name":"Crane-01","cameraDistance":"25.65744","viewed":"3.905124837953327","rotationSpeed":"0","translationSpeed":"0","size":"(43,120)"}]
T=144.91113333333334 || screenImage=frame2163.png	[{"center":"(1013.5,270.0)","visible":"true","name":"Crane-01","cameraDistance":"25.62283","viewed":"7.762087348130012","rotationSpeed":"0","translationSpeed":"0","size":"(44,121)"}]
T=144.94386666666665 || screenImage=frame2164.png	[{"center":"(1002.5,270.5)","visible":"true","name":"Crane-01","cameraDistance":"25.58786","viewed":"6.670832032063167","rotationSpeed":"0","translationSpeed":"0","size":"(44,120)"}]
T=144.9766 || screenImage=frame2164.png	[{"center":"(1002.5,270.5)","visible":"true","name":"Crane-01","cameraDistance":"25.58786","viewed":"9.513148795220223","rotationSpeed":"0","translationSpeed":"0","size":"(44,120)"}]
T=144.99196666666666 || screenImage=frame2164.png	[{"center":"(1002.5,270.5)","visible":"true","name":"Crane-01","cameraDistance":"25.58786","viewed":"3.5355339059327378","rotationSpeed":"0","translationSpeed":"0","size":"(44,120)"}]
T=145.00733333333332 || screenImage=frame2165.png	[{"center":"(998.0,270.5)","visible":"true","name":"Crane-01","cameraDistance":"25.55378","viewed":"6.18465843842649","rotationSpeed":"0","translationSpeed":"0","size":"(43,120)"}]
T=145.0227 || screenImage=frame2165.png	[{"center":"(998.0,270.5)","visible":"true","name":"Crane-01","cameraDistance":"25.55378","viewed":"6.020797289396148","rotationSpeed":"0","translationSpeed":"0","size":"(43,120)"}]
T=146.74676666666667 || screenImage=frame2192.png	[{"center":"(1438.0,391.5)","visible":"true","name":"Yellow Worker 9","cameraDistance":"79.56297","viewed":"9.962429422585638","rotationSpeed":"0","translationSpeed":"0","size":"(13,24)"}]
T=146.7626 || screenImage=frame2193.png	[{"center":"(1427.0,391.5)","visible":"true","name":"Yellow Worker 9","cameraDistance":"79.52514","viewed":"9.5524865872714","rotationSpeed":"0","translationSpeed":"0","size":"(13,24)"}]
T=146.8073 || screenImage=frame2193.png	[{"center":"(1427.0,391.5)","visible":"true","name":"Yellow Worker 9","cameraDistance":"79.52514","viewed":"6.5","rotationSpeed":"0","translationSpeed":"0","size":"(13,24)"}]
T=149.79049999999998 || screenImage=frame2238.png	[{"center":"(924.0,384.5)","visible":"true","name":"Bulldozer B10 N080211","cameraDistance":"50.93453","viewed":"9.013878188659973","rotationSpeed":"0","translationSpeed":"0.237099301807352","size":"(57,30)"}]
T=150.30841111111113 || screenImage=frame2246.png	[{"center":"(904.5,384.5)","visible":"true","name":"Bulldozer B10 N080211","cameraDistance":"50.76735","viewed":"4.743416490252569","rotationSpeed":"0","translationSpeed":"0.269330212634483","size":"(56,30)"}]
T=150.34672222222224 || screenImage=frame2247.png	[{"center":"(864.0,388.5)","visible":"true","name":"Worker Ham 2","cameraDistance":"54.42921","viewed":"9.340770846134703","rotationSpeed":"1.71432586800282","translationSpeed":"0.0140569407048585","size":"(7,14)"}]
T=150.36587777777777 || screenImage=frame2247.png	[{"center":"(800.0,406.5)","visible":"true","name":"Yellow Worker 3","cameraDistance":"24.38522","viewed":"8.5","rotationSpeed":"0","translationSpeed":"0","size":"(19,44)"}]
T=150.75844999999998 || screenImage=frame2253.png	[{"center":"(770.0,383.0)","visible":"true","name":"Yellow Worker 5","cameraDistance":"64.40845","viewed":"6.324555320336759","rotationSpeed":"0","translationSpeed":"0","size":"(7,17)"}]
T=150.790275 || screenImage=frame2253.png	[{"center":"(770.0,383.0)","visible":"true","name":"Yellow Worker 5","cameraDistance":"64.40845","viewed":"8.0","rotationSpeed":"0","translationSpeed":"0","size":"(7,17)"}]
T=151.10925 || screenImage=frame2262.png	[{"center":"(848.5,388.5)","visible":"true","name":"Worker Ham 2","cameraDistance":"54.33532","viewed":"7.106335201775948","rotationSpeed":"4.42498254434666","translationSpeed":"0.0304175797252227","size":"(8,14)"}]
T=151.63076666666666 || screenImage=frame2266.png	[{"center":"(929.0,412.0)","visible":"true","name":"WorkerBarrier 1","cameraDistance":"24.35165","viewed":"6.324555320336759","rotationSpeed":"0","translationSpeed":"0.470632269631285","size":"(41,33)"}]
T=151.6529 || screenImage=frame2266.png	[{"center":"(929.0,412.0)","visible":"true","name":"WorkerBarrier 1","cameraDistance":"24.35165","viewed":"4.47213595499958","rotationSpeed":"0","translationSpeed":"0.470632269631285","size":"(41,33)"}]
T=151.7165 || screenImage=frame2267.png	[{"center":"(929.0,412.0)","visible":"true","name":"WorkerBarrier 1","cameraDistance":"24.32361","viewed":"8.246211251235321","rotationSpeed":"0","translationSpeed":"0.44866167246097","size":"(41,33)"}]
T=151.7788 || screenImage=frame2268.png	[{"center":"(968.5,390.5)","visible":"true","name":"rung^ladder","cameraDistance":"76.21349","viewed":"8.514693182963201","rotationSpeed":"0","translationSpeed":"0","size":"(8,8)"}]
T=151.8757 || screenImage=frame2269.png	[{"center":"(973.0,376.0)","visible":"true","name":"Truck N260213","cameraDistance":"56.16655","viewed":"7.0710678118654755","rotationSpeed":"0","translationSpeed":"0.206159964283179","size":"(99,41)"}]
T=151.8946 || screenImage=frame2270.png	[{"center":"(973.5,374.5)","visible":"true","name":"Truck N260213","cameraDistance":"56.17284","viewed":"2.9154759474226504","rotationSpeed":"0","translationSpeed":"0.20104067420326","size":"(98,44)"}]
T=152.1948 || screenImage=frame2274.png	[{"center":"(975.0,376.0)","visible":"true","name":"Truck N260213","cameraDistance":"56.20207","viewed":"9.433981132056603","rotationSpeed":"0","translationSpeed":"0.244974870281647","size":"(99,41)"}]
T=152.3863 || screenImage=frame2277.png	[{"center":"(977.5,374.5)","visible":"true","name":"Truck N260213","cameraDistance":"56.22687","viewed":"8.860022573334675","rotationSpeed":"0","translationSpeed":"0.232328743023236","size":"(98,44)"}]
T=152.4543666666667 || screenImage=frame2278.png	[{"center":"(978.0,375.5)","visible":"true","name":"Truck N260213","cameraDistance":"56.23582","viewed":"8.73212459828649","rotationSpeed":"0","translationSpeed":"0.219867152380926","size":"(99,42)"}]
T=152.52023333333332 || screenImage=frame2279.png	[{"center":"(978.0,375.5)","visible":"true","name":"Truck N260213","cameraDistance":"56.24556","viewed":"6.264982043070834","rotationSpeed":"0","translationSpeed":"0.250666560163625","size":"(99,42)"}]
T=152.56545 || screenImage=frame2280.png	[{"center":"(979.5,375.5)","visible":"true","name":"Truck N260213","cameraDistance":"56.25501","viewed":"6.519202405202649","rotationSpeed":"0","translationSpeed":"0.233618594955143","size":"(100,42)"}]
T=152.5942 || screenImage=frame2280.png	[{"center":"(979.5,375.5)","visible":"true","name":"Truck N260213","cameraDistance":"56.25501","viewed":"5.70087712549569","rotationSpeed":"0","translationSpeed":"0.233618594955143","size":"(100,42)"}]
T=152.6457 || screenImage=frame2281.png	[{"center":"(980.5,375.0)","visible":"true","name":"Truck N260213","cameraDistance":"56.26498","viewed":"4.6097722286464435","rotationSpeed":"0","translationSpeed":"0.254686989807554","size":"(98,43)"}]
T=152.7124 || screenImage=frame2282.png	[{"center":"(981.0,374.5)","visible":"true","name":"Truck N260213","cameraDistance":"56.27478","viewed":"4.031128874149275","rotationSpeed":"0","translationSpeed":"0.234984948610231","size":"(99,44)"}]
T=152.7633 || screenImage=frame2283.png	[{"center":"(982.0,375.5)","visible":"true","name":"Truck N260213","cameraDistance":"56.28537","viewed":"3.0413812651491097","rotationSpeed":"0","translationSpeed":"0.251817814432169","size":"(99,42)"}]
T=152.77785 || screenImage=frame2283.png	[{"center":"(982.0,375.5)","visible":"true","name":"Truck N260213","cameraDistance":"56.28537","viewed":"7.158910531638177","rotationSpeed":"0","translationSpeed":"0.251817814432169","size":"(99,42)"}]
T=152.80694999999997 || screenImage=frame2283.png	[{"center":"(982.0,375.5)","visible":"true","name":"Truck N260213","cameraDistance":"56.28537","viewed":"8.381527307120106","rotationSpeed":"0","translationSpeed":"0.251817814432169","size":"(99,42)"}]
T=152.8215 || screenImage=frame2283.png	[{"center":"(982.0,375.5)","visible":"true","name":"Truck N260213","cameraDistance":"56.28537","viewed":"7.0178344238090995","rotationSpeed":"0","translationSpeed":"0.251817814432169","size":"(99,42)"}]
T=152.85955 || screenImage=frame2284.png	[{"center":"(983.0,375.5)","visible":"true","name":"Truck N260213","cameraDistance":"56.29622","viewed":"6.020797289396148","rotationSpeed":"0","translationSpeed":"0.263246203849324","size":"(99,42)"}]
T=153.0795 || screenImage=frame2287.png	[{"center":"(1021.5,393.5)","visible":"true","name":"Worker Walker 5","cameraDistance":"47.96293","viewed":"6.363961030678928","rotationSpeed":"0","translationSpeed":"0","size":"(12,20)"},{"center":"(1010.5,394.5)","visible":"true","name":"White worker 1","cameraDistance":"73.90139","viewed":"8.514693182963201","rotationSpeed":"0","translationSpeed":"0","size":"(2,2)"}]
T=153.10975 || screenImage=frame2288.png	[{"center":"(1022.0,393.5)","visible":"true","name":"Worker Walker 5","cameraDistance":"47.9673","viewed":"7.566372975210778","rotationSpeed":"0","translationSpeed":"0","size":"(11,20)"}]
T=153.2006 || screenImage=frame2289.png	[{"center":"(1028.0,404.5)","visible":"true","name":"WorkerHam","cameraDistance":"31.98738","viewed":"5.315072906367325","rotationSpeed":"0","translationSpeed":"0","size":"(19,32)"},{"center":"(1024.0,393.5)","visible":"true","name":"Worker Walker 5","cameraDistance":"47.972","viewed":"7.5","rotationSpeed":"0","translationSpeed":"0","size":"(11,20)"}]
T=153.2317 || screenImage=frame2289.png	[{"center":"(1024.0,393.5)","visible":"true","name":"Worker Walker 5","cameraDistance":"47.972","viewed":"4.031128874149275","rotationSpeed":"0","translationSpeed":"0","size":"(11,20)"},{"center":"(1037.5,391.0)","visible":"true","name":"Yellow Worker 9","cameraDistance":"78.00342","viewed":"9.962429422585638","rotationSpeed":"0","translationSpeed":"0","size":"(4,9)"}]
T=153.2628 || screenImage=frame2290.png	[{"center":"(1025.0,393.5)","visible":"true","name":"Worker Walker 5","cameraDistance":"47.97662","viewed":"4.031128874149275","rotationSpeed":"0","translationSpeed":"0","size":"(11,20)"},{"center":"(1037.5,388.5)","visible":"true","name":"Yellow Worker 9","cameraDistance":"78.008","viewed":"9.617692030835672","rotationSpeed":"0","translationSpeed":"0","size":"(6,14)"}]
T=153.27792499999998 || screenImage=frame2290.png	[{"center":"(1037.5,388.5)","visible":"true","name":"Yellow Worker 9","cameraDistance":"78.008","viewed":"5.522680508593631","rotationSpeed":"0","translationSpeed":"0","size":"(6,14)"},{"center":"(1025.0,393.5)","visible":"true","name":"Worker Walker 5","cameraDistance":"47.97662","viewed":"8.32165848854662","rotationSpeed":"0","translationSpeed":"0","size":"(11,20)"}]
T=153.29305 || screenImage=frame2290.png	[{"center":"(1037.5,388.5)","visible":"true","name":"Yellow Worker 9","cameraDistance":"78.008","viewed":"3.5355339059327378","rotationSpeed":"0","translationSpeed":"0","size":"(6,14)"}]
T=153.308175 || screenImage=frame2291.png	[{"center":"(1038.5,388.5)","visible":"true","name":"Yellow Worker 9","cameraDistance":"78.01232","viewed":"3.8078865529319543","rotationSpeed":"0","translationSpeed":"0","size":"(6,14)"}]
T=153.3233 || screenImage=frame2291.png	[{"center":"(1038.5,388.5)","visible":"true","name":"Yellow Worker 9","cameraDistance":"78.01232","viewed":"7.648529270389178","rotationSpeed":"0","translationSpeed":"0","size":"(6,14)"},{"center":"(1026.0,393.5)","visible":"true","name":"Worker Walker 5","cameraDistance":"47.98099","viewed":"8.200609733428363","rotationSpeed":"0","translationSpeed":"0","size":"(11,20)"}]
T=153.3412 || screenImage=frame2291.png	[{"center":"(1014.5,392.5)","visible":"true","name":"White worker 1","cameraDistance":"73.91965","viewed":"8.276472678623424","rotationSpeed":"0","translationSpeed":"0","size":"(4,6)"}]
T=153.3591 || screenImage=frame2291.png	[{"center":"(1014.5,392.5)","visible":"true","name":"White worker 1","cameraDistance":"73.91965","viewed":"7.648529270389178","rotationSpeed":"0","translationSpeed":"0","size":"(4,6)"}]
T=153.377 || screenImage=frame2292.png	[{"center":"(1026.5,393.5)","visible":"true","name":"Worker Walker 5","cameraDistance":"47.98531","viewed":"9.513148795220223","rotationSpeed":"0","translationSpeed":"0","size":"(12,20)"}]
T=153.3982 || screenImage=frame2292.png	[{"center":"(1039.5,388.5)","visible":"true","name":"Yellow Worker 9","cameraDistance":"78.01661","viewed":"8.514693182963201","rotationSpeed":"0","translationSpeed":"0","size":"(6,14)"}]
T=153.40879999999999 || screenImage=frame2292.png	[{"center":"(1039.5,388.5)","visible":"true","name":"Yellow Worker 9","cameraDistance":"78.01661","viewed":"6.670832032063167","rotationSpeed":"0","translationSpeed":"0","size":"(6,14)"}]
T=153.4194 || screenImage=frame2292.png	[{"center":"(1039.5,388.5)","visible":"true","name":"Yellow Worker 9","cameraDistance":"78.01661","viewed":"4.949747468305833","rotationSpeed":"0","translationSpeed":"0","size":"(6,14)"}]
T=153.43 || screenImage=frame2292.png	[{"center":"(1039.5,388.5)","visible":"true","name":"Yellow Worker 9","cameraDistance":"78.01661","viewed":"2.9154759474226504","rotationSpeed":"0","translationSpeed":"0","size":"(6,14)"}]
T=153.4406 || screenImage=frame2293.png	[{"center":"(1040.5,388.5)","visible":"true","name":"Yellow Worker 9","cameraDistance":"78.02151","viewed":"9.513148795220223","rotationSpeed":"0","translationSpeed":"0","size":"(6,14)"}]
T=153.5626 || screenImage=frame2295.png	[{"center":"(1043.0,392.0)","visible":"true","name":"Yellow Worker 9","cameraDistance":"78.02991","viewed":"7.0710678118654755","rotationSpeed":"0","translationSpeed":"0","size":"(3,7)"}]
T=153.58223333333333 || screenImage=frame2295.png	[{"center":"(1043.0,392.0)","visible":"true","name":"Yellow Worker 9","cameraDistance":"78.02991","viewed":"6.4031242374328485","rotationSpeed":"0","translationSpeed":"0","size":"(3,7)"}]
T=153.60186666666667 || screenImage=frame2295.png	[{"center":"(1029.0,393.5)","visible":"true","name":"Worker Walker 5","cameraDistance":"47.99875","viewed":"3.2015621187164243","rotationSpeed":"0","translationSpeed":"0","size":"(11,20)"},{"center":"(1018.5,392.5)","visible":"true","name":"White worker 1","cameraDistance":"73.9376","viewed":"8.631338250816034","rotationSpeed":"0","translationSpeed":"0","size":"(4,6)"}]
T=153.6215 || screenImage=frame2295.png	[{"center":"(1018.5,392.5)","visible":"true","name":"White worker 1","cameraDistance":"73.9376","viewed":"3.5355339059327378","rotationSpeed":"0","translationSpeed":"0","size":"(4,6)"}]
T=153.6855 || screenImage=frame2296.png	[{"center":"(1030.0,393.5)","visible":"true","name":"Worker Walker 5","cameraDistance":"48.00352","viewed":"3.0413812651491097","rotationSpeed":"0","translationSpeed":"0","size":"(11,20)"}]
T=153.7137 || screenImage=frame2297.png	[{"center":"(1045.0,392.0)","visible":"true","name":"Yellow Worker 9","cameraDistance":"78.03903","viewed":"5.385164807134504","rotationSpeed":"0","translationSpeed":"0","size":"(3,7)"},{"center":"(1059.5,390.5)","visible":"true","name":"Worker Ham 1","cameraDistance":"45.73904","viewed":"9.513148795220223","rotationSpeed":"0","translationSpeed":"0","size":"(4,10)"}]
T=153.7419 || screenImage=frame2297.png	[{"center":"(1019.5,392.5)","visible":"true","name":"White worker 1","cameraDistance":"73.94691","viewed":"9.82344135219425","rotationSpeed":"0","translationSpeed":"0","size":"(4,6)"}]
T=154.4251 || screenImage=frame2307.png	[{"center":"(1006.0,376.0)","visible":"true","name":"Truck N260213","cameraDistance":"56.57772","viewed":"5.385164807134504","rotationSpeed":"0","translationSpeed":"0.332620846438138","size":"(103,43)"}]
T=154.437275 || screenImage=frame2308.png	[{"center":"(1007.0,376.0)","visible":"true","name":"Truck N260213","cameraDistance":"56.5897","viewed":"3.0","rotationSpeed":"0","translationSpeed":"0.338991900575169","size":"(103,43)"}]
T=154.44945 || screenImage=frame2308.png	[{"center":"(1007.0,376.0)","visible":"true","name":"Truck N260213","cameraDistance":"56.5897","viewed":"5.0990195135927845","rotationSpeed":"0","translationSpeed":"0.338991900575169","size":"(103,43)"}]
T=154.461625 || screenImage=frame2308.png	[{"center":"(1007.0,376.0)","visible":"true","name":"Truck N260213","cameraDistance":"56.5897","viewed":"3.605551275463989","rotationSpeed":"0","translationSpeed":"0.338991900575169","size":"(103,43)"}]
T=154.6228 || screenImage=frame2310.png	[{"center":"(1092.0,390.5)","visible":"true","name":"Worker Walker 1","cameraDistance":"75.05645","viewed":"7.762087348130012","rotationSpeed":"0","translationSpeed":"0.380240096927071","size":"(5,12)"},{"center":"(1089.0,375.0)","visible":"true","name":"ExcavatorD-01","cameraDistance":"31.46095","viewed":"9.433981132056603","rotationSpeed":"9.85140209997992","translationSpeed":"0","size":"(221,99)"}]
T=154.64023333333333 || screenImage=frame2311.png	[{"center":"(1092.0,390.5)","visible":"true","name":"Worker Walker 1","cameraDistance":"75.07114","viewed":"4.716990566028302","rotationSpeed":"0","translationSpeed":"0.355079861370579","size":"(5,12)"},{"center":"(1091.0,393.5)","visible":"true","name":"White worker 2","cameraDistance":"66.31323","viewed":"7.433034373659253","rotationSpeed":"0","translationSpeed":"0","size":"(5,12)"}]
T=155.1411 || screenImage=frame2318.png	[{"center":"(1174.5,405.5)","visible":"true","name":"Worker Walker 4","cameraDistance":"52.06321","viewed":"9.513148795220223","rotationSpeed":"0","translationSpeed":"0","size":"(2,2)"}]
T=155.16805 || screenImage=frame2318.png	[{"center":"(1174.5,405.5)","visible":"true","name":"Worker Walker 4","cameraDistance":"52.06321","viewed":"9.513148795220223","rotationSpeed":"0","translationSpeed":"0","size":"(2,2)"}]
T=155.195 || screenImage=frame2319.png	[{"center":"(1174.5,405.5)","visible":"true","name":"Worker Walker 4","cameraDistance":"52.06321","viewed":"7.516648189186454","rotationSpeed":"0","translationSpeed":"0","size":"(2,2)"}]
T=155.21185 || screenImage=frame2319.png	[{"center":"(1174.5,405.5)","visible":"true","name":"Worker Walker 4","cameraDistance":"52.06321","viewed":"7.516648189186454","rotationSpeed":"0","translationSpeed":"0","size":"(2,2)"}]
T=155.2287 || screenImage=frame2319.png	[{"center":"(1174.5,405.5)","visible":"true","name":"Worker Walker 4","cameraDistance":"52.06321","viewed":"5.70087712549569","rotationSpeed":"0","translationSpeed":"0","size":"(2,2)"},{"center":"(1179.5,407.0)","visible":"true","name":"Worker Walker 3","cameraDistance":"50.51693","viewed":"7.826237921249264","rotationSpeed":"0","translationSpeed":"0","size":"(10,5)"}]
T=155.24555 || screenImage=frame2319.png	[{"center":"(1174.5,405.5)","visible":"true","name":"Worker Walker 4","cameraDistance":"52.06321","viewed":"9.192388155425117","rotationSpeed":"0","translationSpeed":"0","size":"(2,2)"}]
T=155.2624 || screenImage=frame2320.png	[{"center":"(1174.5,405.5)","visible":"true","name":"Worker Walker 4","cameraDistance":"52.06321","viewed":"8.631338250816034","rotationSpeed":"0","translationSpeed":"0","size":"(2,2)"}]
